iter	Passed	Remaining
0	1	464
1	2	415
2	3	361
3	3	338
4	4	322
5	5	306
6	6	297
7	6	290
8	7	288
9	8	284
10	9	282
11	9	278
12	10	274
13	11	272
14	12	274
15	13	278
16	14	286
17	15	289
18	16	291
19	17	291
20	18	291
21	19	290
22	20	289
23	21	288
24	22	287
25	22	286
26	23	285
27	24	285
28	25	285
29	26	284
30	27	285
31	29	288
32	30	289
33	31	288
34	31	286
35	32	285
36	33	285
37	34	284
38	35	283
39	36	281
40	37	281
41	38	280
42	39	279
43	40	278
44	40	277
45	42	279
46	43	282
47	45	283
48	46	282
49	46	281
50	47	280
51	48	279
52	49	278
53	50	277
54	51	277
55	52	276
56	53	275
57	54	274
58	55	273
59	56	274
60	58	276
61	59	276
62	60	275
63	61	274
64	62	273
65	63	273
66	64	271
67	65	271
68	66	270
69	67	268
70	68	267
71	68	266
72	69	264
73	70	263
74	71	263
75	73	265
76	74	264
77	75	263
78	76	263
79	77	262
80	78	260
81	79	259
82	80	257
83	80	255
84	81	254
85	82	252
86	83	251
87	83	249
88	84	248
89	85	246
90	86	246
91	87	245
92	88	244
93	89	243
94	90	242
95	90	240
96	91	239
97	92	237
98	93	236
99	93	234
100	94	233
101	95	232
102	96	231
103	97	230
104	98	230
105	99	229
106	100	228
107	102	228
108	103	228
109	104	227
110	105	226
111	106	225
112	107	224
113	108	223
114	109	222
115	110	222
116	111	221
117	112	220
118	113	219
119	114	218
120	115	218
121	116	218
122	118	218
123	119	217
124	120	216
125	120	214
126	121	213
127	122	212
128	123	211
129	124	210
130	125	209
131	126	208
132	127	207
133	128	206
134	129	205
135	130	205
136	131	205
137	133	204
138	134	203
139	135	202
140	136	201
141	136	200
142	137	199
143	138	198
144	139	197
145	140	196
146	141	195
147	142	194
148	143	193
149	144	192
150	145	191
151	146	190
152	147	190
153	148	189
154	149	188
155	150	187
156	151	186
157	152	185
158	153	184
159	154	183
160	155	182
161	156	181
162	157	180
163	158	179
164	159	178
165	160	177
166	161	176
167	162	176
168	163	175
169	164	174
170	165	173
171	166	172
172	167	171
173	168	170
174	169	169
175	169	168
176	170	166
177	171	165
178	172	164
179	173	163
180	174	162
181	175	162
182	176	161
183	178	160
184	179	159
185	180	158
186	180	157
187	181	156
188	182	155
189	183	154
190	184	153
191	186	153
192	187	152
193	188	151
194	190	151
195	192	151
196	193	150
197	194	149
198	195	148
199	196	147
200	198	147
201	199	146
202	200	145
203	201	144
204	202	143
205	203	142
206	204	141
207	206	140
208	207	140
209	208	139
210	209	138
211	210	137
212	212	136
213	213	135
214	214	134
215	215	133
216	216	132
217	217	131
218	218	130
219	219	129
220	221	129
221	222	128
222	223	127
223	224	126
224	225	125
225	226	124
226	227	123
227	228	122
228	229	121
229	230	120
230	232	119
231	233	118
232	235	118
233	236	117
234	237	116
235	239	115
236	240	114
237	241	113
238	242	112
239	243	111
240	244	110
241	245	109
242	246	108
243	248	107
244	249	107
245	251	106
246	252	105
247	253	104
248	254	103
249	255	102
250	256	101
251	257	100
252	259	99
253	260	98
254	261	97
255	262	96
256	264	95
257	266	94
258	267	93
259	268	92
260	269	92
261	270	90
262	272	90
263	273	89
264	274	88
265	276	87
266	277	86
267	278	85
268	280	84
269	281	83
270	282	82
271	283	81
272	284	80
273	285	79
274	287	78
275	288	77
276	289	76
277	291	75
278	292	74
279	293	73
280	295	72
281	296	71
282	297	70
283	298	69
284	299	68
285	300	67
286	301	66
287	303	65
288	304	64
289	305	63
290	307	62
291	308	61
292	309	60
293	310	59
294	311	58
295	312	57
296	314	56
297	315	54
298	316	53
299	317	52
300	318	51
301	319	50
302	321	49
303	322	48
304	323	47
305	325	46
306	326	45
307	327	44
308	328	43
309	329	42
310	330	41
311	331	40
312	333	39
313	334	38
314	336	37
315	337	36
316	338	35
317	339	34
318	341	33
319	342	32
320	343	31
321	344	29
322	345	28
323	347	27
324	348	26
325	349	25
326	351	24
327	352	23
328	353	22
329	354	21
330	355	20
331	356	19
332	357	18
333	358	17
334	359	16
335	360	15
336	361	13
337	361	12
338	362	11
339	363	10
340	364	9
341	366	8
342	367	7
343	368	6
344	369	5
345	370	4
346	371	3
347	371	2
348	372	1
349	373	0
